2,abari,o,news,
3,abo,ma,"foam, the sea is covered with foam",
4,ade-ade,ho,"to narrate, conversation, story",
5,adono,ho,"come up to, reach, to arrive somewhere, pertaining to time, enough, sufficient",
6,aerani,ma,"wonderful, strange",
7,aere,i na,ant trails,
8,aere,o,high tide,nautical
9,aga,ho,"dumb, stupid, to ridicule s o",
10,agomo,ma,thick,
11,aha,part,future tense marker,
12,-ahi,vsf,durative-continuative aspectual suffix,
13,ahoko,ho,call,
14,ahuhu,o,"tree stump, tree stump",plant
15,ahumu,,whole,
16,ai-,npf,"third-person singular masculine possessive prefix, his",
17,aiki,ha,take away,
18,aili,o,centipede,insect
19,akaka,,tickling,
20,ake,ho,invite someone to dance cakalele by giving them the sawako,
21,ake-akeme,o,mosquito,insect
22,akeme,ma,flesh,body part
23,akere,o,"water, river, river mouth, spring, milk, headwater",
24,akiri,nanga,tongue,body part
25,akunu,,allowed,
26,alam,o,world,
27,ale-ale,o,ring,
28,alibiru,ho,"destroy, spoil, damage",
29,alimu,o,sage,
30,alipa,,carelessness,
31,alo,ma,cold,
32,alu,ma,breastbone,body part
33,alu,nanga,breast bone,body part
34,alua,o,sugarcake made from kanari nut and sugar syrup,
35,aluhu,,fine,
36,alyeme,,lick,
37,alyemi,,lick,
38,ama,,father,
39,ame,,"kiss, smell",
40,ami,PRO,"3fPOSS, her",
41,amo,,"each, every, any",
42,amoko,o,"large, big",
43,anca,o,bamboo mat,
44,ani,PRO,"2POSS, your",
45,aniaya,,injustice,
46,ao,ha,"carry, carry in s t, cary along, bring along",
47,ao,ha,"take, carry",
48,ao,ho,"care for, nurse",
49,aoto,o,"loose plank, sailors, passengers in a canoe",
50,apongi,ha,forgive,
51,apoto,ho,"do quickly, bring s t about quickly",
52,ara-ara,,spider,
53,arapoka,,Arab,
54,arara,,spider,
55,arehe,i,"to be white, tomorrow, morning",color
56,ari,ho,"cry, weep",
57,aruku,o,cave,
58,atera,,tease,
59,ato,,say,
60,atomo,,clothes lice,
61,auenu,,blood,body part
62,aulyoto,o,k o bamboo,plant
63,awana,o,"rain, to rain",
64,awunu,o,blood,body part
65,ayo,ma,mother,kin
66,baaeri,,sail,
67,baatuku,o,k o snare,hunting
68,babaka,,thrown,
69,babali,o,k o specially cooked rice,food
70,babalyanga,,handle,
71,babanga,o,mangrove,plant
72,babao,,widower,
73,babaraha,,"peg, pin",
74,babarihi,,paint,
75,babau,,"child, foster child",kin
76,babiti,,corrsion,
77,Baca,o,Bacan Islands,
78,bada,,makeup,
79,badaganga,,trade,
80,badangi,nanga,body,body part
81,bahaka,ma,end,
82,baharama,o,banyan tree,plant
83,bahi,,"danger, trouble",
84,bahuku,o,"axe, chop (with an axe)",
85,baikoleke,o,"seagull, wagtail bird",animal
86,baiti,o,"hole, grave, burrow",
87,baja,,persuade,
88,bajooka,,Baju,
89,baju,o,"jacket, shirt",
90,bajuli,,card game,
91,baka,,throw,
92,bakaha,o,salt fish,food
93,bakanuku,o,jellyfish,animal
94,bakau,,"wages, salary",
95,bake,,corpse,
96,bakoro,o,"cliff, slope",
97,baku-baku,,pitch,
98,bakulu,,"coroded, decayed",
99,balacu,,uncolored cotton,
100,balahadada,,long dress,
101,balahi,,revenge,
102,balajang,,"fee, payment",
103,bale,,"bed, bedstead",
104,bali,,turn,
105,baliha,,sad,
106,balitako,o,k o tree (grows along beach),plant
107,baliteta,,fluent,
108,balitorongo,,mouth-organ,
109,baluhu,ho,"answer, revenge",
110,balyaana,,flat,
111,balyanga,,"feel, handle",
112,banakono,,loot,
113,banga,,buried,
114,bangeheli,,flute,
115,bangi-bangi,o,"fence, to dam",
116,bangisa,o,race,
117,bangu,ho ma,pay,
118,bao,ma,widower,
119,bara,,overhang,
120,baradoha,,"sin, condemned",
121,baraguna,,useful,
122,barakati,,blessing,
123,barang,o,"goods, property",
124,barani,ho,courageous,
125,bare,o,famine,
126,barehala,,idol,
127,barene,ho,"climb, rise",
128,barihi,,work with guests,
129,barihi,,repelled,
130,barihi,ho,"sow, scatter, spread",
131,barija,,wise,
132,barikua,,certainly,
133,baro,,tree hibiscus,plant
134,baru,o,boat caulk,nautical
135,baruang,,beer,food
136,barukua,,even,
137,basitang,o,mangosteen,food
138,bata,ho,jump up,
139,bata-bata,i,"moldy, mold",
140,bataru,ho ma,"bet, wager",
141,batingi,ma,border,
142,bato-batoko,o,small star shaped shells,animal
143,batoko,o,k o root (used to stun fish),plant
144,batoko,o,"foot wound, foot barbs",
145,batungu,,"help, support",
146,batya,,read,
147,bau,ha,"borrow, loan",
148,bauhu,o,"ocean current, current swell",
149,baulatyo,,hunger,
150,bauru,,in,
151,bawa,o,"onion, garlic",
152,bayale,,awake,
153,bayeleki,,waterproof hardwood,plant
154,bayongo,,small bag,
155,be,,where,
156,bea,,import duties,
157,beba,,coral,
158,bebanga,,close,
159,bebanga,o,large black ant,animal
160,bebe,i,loose,
161,bebehongo,,deliver,
162,bebele,,track,
163,bebeloho,ma,stake,
164,bebeno,,wall,
165,bebeoto,,k o shell,
166,bedeng,,seedbed,
167,beebepa,,packing,
168,beha-behaka,ma,wet,
169,behi,o,iron,
170,bela,,pancreas,body part
171,bela-belaka,,split fine,
172,belaka,ha,split,
173,belehoko,,"trouble, sadness",
174,belelaka,,leanness,
175,belenga,,open,
176,beleoko,,crooked,
177,beleta,,pound sago,
178,beloho,,stake,
179,benarata,,shout,
180,beneto,,"narrow, straight",
181,benga,,wrist,
182,benga,,"knock, tap",
183,bengoto,,nasal,
184,beno,,"close, stop",
185,beoto,,tap palm wine,
186,bepa,,pack,
187,Berani,,tribal spirit,
188,bereanga,,spread wide,
189,bere-bere,,sickness,
190,berehi,,cleanse,
191,bereki,,old man,
192,berera,o,"village, town, Tobelo",
193,besi,,iron,
194,beta-beta,,small package,
195,betongo,,text,
196,beubabu,,"reason, therefore",
197,beuekeuno,,upper arm,
198,beureti,,"stop, rest",
199,beutikanga,,concave up,
200,biagaro,,oyster shell,
201,biaha,o,"custom, to be accustomed",
202,bianga,o,February (time when the Pleiades is at its zenith),time
203,bianga,o,k o small shellfish,animal
204,biara,ho ma,"raise, bring up",
205,biawa,o,k o plant,plant
206,bibikiri,,mop,
207,bibikiri,o,sieve,
208,bibilata,o,wart,
209,bidilon,o,k o crab,animal
210,bido-bidoho,o,k o small fish,fish
211,bidoho,o,betel,food
212,biha,o,"venom, poison",
213,bihi,o,"indigo, blue",plant
214,biji,o,weeds,
215,biki,o,leaf used for sails,plant
216,biki-hago,,earwig,
217,bikini,,tree,
218,bikini,,tail,
219,bilahu,,"smooth, shine",
220,bilamo,,phosphorescent centipede,
221,bilangu,,contribution to a feast,
222,bilaono,o,"great cost, supplies",
223,bilatu,,wood clamp,
224,bileure,,sago leaf decoration,
225,bilihu,,slice,
226,bima:wa,o,evening,time
227,binaha,,"wreck, ruin, spoil",
228,bingu,,confused,
229,biono,,"face, appearance",body part
230,biono,,front,
231,biono,nanga,"face, front",body part
232,bira,o,rice,food
233,birahi,,"glad, happy",
234,biranga,,sister,
235,birini,,frequqent,
236,biru,ma,green,
237,bitoanga,o,banana,food
