1,abari,o,news,,,
2,abo,ma,foam,,ogahi de maabooka,the sea is covered with foam
3,ade-ade,ho,to narrate,,,
4,ade-ade,ma,conversation,,,
5,ade-ade,o,story,,,
6,adono1,ho,"come up to, reach",,,
7,adono2,ho mahi,to arrive somewhere,,,
8,adono3,i,"pertaining to time, sufficient",,i adonua,enough
9,aerani,ma,"wonderful, strange",,,
10,aere,i na,ant trails,,,
11,aere,o,high *tide,nautical,,
12,aga,ho,"dumb, stupid",,hohiagaga,to ridicule s o
13,agomo,ma,thick,,,
14,aha,part,future tense marker,,,
15,-ahi,vsf,durative-continuative aspectual suffix,,,
16,ahoko,ho,call,,,
17,ahuhu,o,tree *stump,,,
18,ahuhu,ma,tree *stump,plant,,
19,ahumu,,whole,,,
20,ai-,npf,"third-person singular masculine possessive prefix, his",,,
21,aiki,ha,take away,,,
22,aili,o,centipede,insect,,
23,akaka,,tickling,,,
24,ake,ho,lean,,,
25,ake,ha,invite someone to dance cakalele by giving them the sawako,,,
26,ake-akeme,o,mosquito,insect,,
27,akeme,ma,flesh,body part,,
28,akere,o,water,earth,o akere ma jobubu,spring (water source)
29,akiri,nanga,tongue,body part,,
30,akunu,,allowed,,,
31,alam,o,world,,,
32,ale-ale,o,ring,,,
33,alibiru,ho,"destroy, spoil, damage",,,
34,alimu,o,sage,,,
35,alipa,,carelessness,,,
36,alo,ma,cold,,,
37,alu,ma,breastbone,body part,,
38,alu,nanga,breast bone,body part,,
39,alua,o,sugarcake made from kanari nut and sugar syrup,,,
40,aluhu,,fine,,,
41,alyeme,,lick,,,
42,alyemi,,lick,,,
43,ama,,father,,,
44,ame,,"kiss, smell",,,
45,ami,PRO,"3fPOSS, her",,,
46,amo,,"each, every, any",,,
47,amoko,o,"large, big",,,
48,anca,o,bamboo *mat,,,
49,ani,PRO,"2POSS, your",,,
50,aniaya,,injustice,,,
51,ao,ha,carry,,,
52,ao,ho hi,carry in s t,,,
53,ao,ho mag,"cary along, bring along",,,
54,ao,ha,"take, carry",,,
55,ao,ho,"care for, nurse",,,
56,aoto,o,"loose *plank, passengers in a canoe",,ongotiri maaoto,sailors
57,apongi,ha,forgive,,,
58,apoto,ho,do *quickly,,,
59,apoto,ho hi,bring s t about *quickly,,,
60,ara-ara,,spider,,,
61,arapoka,,Arab,,,
62,arara,,spider,,,
63,arehe,i,"to be *white, tomorrow",color,iarehe mawange,morning
64,ari,ho,"cry, weep",,,
65,aruku,o,cave,,,
66,atera,,tease,,,
67,ato,,say,,,
68,atomo,,clothes *lice,,,
69,auenu,,blood,body part,,
70,aulyoto,o,k o *bamboo,plant,,
71,awana,o,rain,,,
72,awana,i,to *rain,,,
73,awunu,o,blood,body part,,
74,ayo,ma,mother,kin,,
75,baaeri,,sail,,,
76,baatuku,o,k o *snare,hunting,,
77,babaka,,thrown,,,
78,babali,o,k o specially cooked *rice,food,,
79,babalyanga,,handle,,,
80,babanga,o,mangrove,plant,,
81,babao,,widower,,,
82,babaraha,,"peg, pin",,,
83,babarihi,,paint,,,
84,babau,,"child, foster *child",kin,,
85,babiti,,corrsion,,,
86,Baca,o,Bacan Islands,,,
87,bada,,makeup,,,
88,badaganga,,trade,,,
89,badangi,nanga,body,body part,,
90,bahaka,ma,end,,,
91,baharama,o,banyan *tree,,,
92,bahi,,"danger, trouble",,,
93,bahuku,o,axe,,,
94,bahuku,ho,chop (with an axe),,,
95,baikoleke,o,"seagull, wagtail *bird",animal,,
96,baiti,o,"hole, grave, burrow",,,
97,baja,,persuade,,,
98,bajooka,,Baju,,,
99,baju,o,"jacket, shirt",,,
100,bajuli,,card game,,,
101,baka,,throw,,,
102,bakaha,o,salt *fish,food,,
103,bakanuku,o,jellyfish,animal,,
104,bakau,,"wages, salary",,,
105,bake,,corpse,,,
106,bakoro,o,"cliff, slope",,,
107,baku-baku,,pitch,,,
108,bakulu,,"coroded, decayed",,,
109,balacu,,uncolored *cotton,,,
110,balahadada,,long *dress,,,
111,balahi,,revenge,,,
112,balajang,,"fee, payment",,,
113,bale,,"bed, bedstead",,,
114,bali,,turn,,,
115,baliha,,sad,,,
116,balitako,o,k o *tree (grows along beach),plant,,
117,baliteta,,fluent,,,
118,balitorongo,,mouth-organ,,,
119,baluhu,ho,"answer, revenge",,,
120,balyaana,,flat,,,
121,balyanga,,"feel, handle",,,
122,banakono,,loot,,,
123,banga,,buried,,,
124,bangeheli,,flute,,,
125,bangi-bangi,o,fence,,,
126,bangi-bangi,ho,to *dam,,,
127,bangisa,o,race,,,
128,bangu,ho ma,pay,,,
129,bao,ma,widower,,,
130,bara,,overhang,,,
131,baradoha,,"sin, condemned",,,
132,baraguna,,useful,,,
133,barakati,,blessing,,,
134,barang,o,"goods, property",,,
135,barani,ho,courageous,,,
136,bare,o,famine,,,
137,barehala,,idol,,,
138,barene,ho,climb,,,
139,barene,ho ma,rise,,,
140,barihi,,work with guests,,,
141,barihi,,repelled,,,
142,barihi,ho,"sow, scatter, spread",,,
143,barija,,wise,,,
144,barikua,,certainly,,,
145,baro,,tree hibiscus,plant,,
146,baru,o,boat *caulk,nautical,,
147,baruang,,beer,food,,
148,barukua,,even,,,
149,basitang,o,mangosteen,food,,
150,bata,ho,jump up,,,
151,bata-bata,i,moldy,,,
152,bata-bata,ma,mold,,,
153,bataru,ho ma,"bet, wager",,,
154,batingi,ma,border,,,
155,bato-batoko,o,small star shaped *shells,animal,,
156,batoko,o,k o *root (used to stun fish),plant,,
157,batoko,o,"foot *wound, foot *barbs",,,
158,batungu,,"help, support",,,
159,batya,,read,,,
160,bau,ha,borrow,,,
161,bau,ho hi,loan,,,
162,bauhu,o,ocean *current,,obauhu malulu,current swell
163,baulatyo,,hunger,,,
164,bauru,,in,,,
165,bawa,o,"onion, garlic",,,
166,bayale,,awake,,,
167,bayeleki,,waterproof *hardwood,plant,,
168,bayongo,,small *bag,,,
169,be,,where,,,
170,bea,,import *duties,,,
171,beba,,coral,,,
172,bebanga,,close,,,
173,bebanga,o,large black *ant,animal,,
174,bebe,i,loose,,,
175,bebehongo,,deliver,,,
176,bebele,,track,,,
177,bebeloho,ma,stake,,,
178,bebeno,,wall,,,
179,bebeoto,,k o *shell,,,
180,bedeng,,seedbed,,,
181,beebepa,,packing,,,
182,beha-behaka,ma,wet,,,
183,behi,o,iron,,,
184,bela,,pancreas,body part,,
185,bela-belaka,,split fine,,,
186,belaka,ha,split,,,
187,belehoko,,"trouble, sadness",,,
188,belelaka,,leanness,,,
189,belenga,,open,,,
190,beleoko,,crooked,,,
191,beleta,,pound *sago,,,
192,beloho,,stake,,,
193,benarata,,shout,,,
194,beneto,,"narrow, straight",,,
195,benga,,wrist,,,
196,benga,,"knock, tap",,,
197,bengoto,,nasal,,,
198,beno,,"close, stop",,,
199,beoto,,tap palm wine,,,
200,bepa,,pack,,,
201,Berani,,tribal *spirit,,,
202,bereanga,,spread wide,,,
203,bere-bere,,sickness,,,
204,berehi,,cleanse,,,
205,bereki,,old man,,,
206,berera,o,"village, town, Tobelo",,,
207,besi,,iron,,,
208,beta-beta,,small *package,,,
209,betongo,,text,,,
210,beubabu,,"reason, therefore",,,
211,beuekeuno,,upper *arm,,,
212,beureti,,"stop, rest",,,
213,beutikanga,,concave up,,,
214,biagaro,,oyster shell,,,
215,biaha,o,custom,,,
216,biaha,ha,to be *accustomed,,,
217,bianga,o,February (time when the Pleiades is at its zenith),time,,
218,bianga,o,k o small *shellfish,animal,,
219,biara,ho ma,"raise, bring up",,,
220,biawa,o,k o *plant,Maranta dictotania Wall.,,
221,bibikiri,,mop,,,
222,bibikiri,o,sieve,,,
223,bibilata,o,wart,,,
224,bidilon,o,k o *crab,animal,,
225,bido-bidoho,o,k o small *fish,fish,,
226,bidoho,o,betel,chavica siriboa,,
227,biha,o,"venom, poison",,,
228,bihi,o,indigo,plant,,
229,bihi,ma,blue,color,,
230,biji,o,weeds,,,
231,biki,o,leaf used for sails,,,
232,biki-hago,,earwig,,,
233,bikini,,tree,,,
234,bikini,,tail,,,
235,bilahu,,"smooth, shine",,,
236,bilamo,,phosphorescent *centipede,,,
237,bilangu,,contribution to a feast,,,
238,bilaono,o,"great cost, supplies",,,
239,bilatu,,wood clamp,,,
240,bileure,,sago leaf *decoration,,,
241,bilihu,,slice,,,
242,bima:wa,o,evening,time,,
243,binaha,,"wreck, ruin, spoil",,,
244,bingu,,confused,,,
