1,abari,o,news,
2,abo,ma,foam,
3,ade-ade,ho,"to narrate, conversation, story",
4,adono,ho,"come up to, reach, to arrive somewhere, pertaining to time, sufficient",
5,aerani,ma,"wonderful, strange",
6,aere,i na,ant trails,
7,aere,o,high *tide,nautical
8,aga,ho,"dumb, stupid",
9,agomo,ma,thick,
10,aha,part,future tense marker,
11,-ahi,vsf,durative-continuative aspectual suffix,
12,ahoko,ho,call,
13,ahuhu,o,"tree *stump, tree *stump",plant
14,ahumu,,whole,
15,ai-,npf,"third-person singular masculine possessive prefix, his",
16,aiki,ha,take away,
17,aili,o,centipede,insect
18,akaka,,tickling,
19,ake,ho,invite someone to dance cakalele by giving them the sawako,
20,ake-akeme,o,mosquito,insect
21,akeme,ma,flesh,body part
22,akere,o,water,earth
23,akiri,nanga,tongue,body part
24,akunu,,allowed,
25,alam,o,world,
26,ale-ale,o,ring,
27,alibiru,ho,"destroy, spoil, damage",
28,alimu,o,sage,
29,alipa,,carelessness,
30,alo,ma,cold,
31,alu,ma,breastbone,body part
32,alu,nanga,breast bone,body part
33,alua,o,sugarcake made from kanari nut and sugar syrup,
34,aluhu,,fine,
35,alyeme,,lick,
36,alyemi,,lick,
37,ama,,father,
38,ame,,"kiss, smell",
39,ami,PRO,"3fPOSS, her",
40,amo,,"each, every, any",
41,amoko,o,"large, big",
42,anca,o,bamboo *mat,
43,ani,PRO,"2POSS, your",
44,aniaya,,injustice,
45,ao,ha,"carry, carry in s t, cary along, bring along",
46,ao,ha,"take, carry",
47,ao,ho,"care for, nurse",
48,aoto,o,"loose *plank, passengers in a canoe",
49,apongi,ha,forgive,
50,apoto,ho,"do *quickly, bring s t about *quickly",
51,ara-ara,,spider,
52,arapoka,,Arab,
53,arara,,spider,
54,arehe,i,"to be *white, tomorrow",color
55,ari,ho,"cry, weep",
56,aruku,o,cave,
57,atera,,tease,
58,ato,,say,
59,atomo,,clothes *lice,
60,auenu,,blood,body part
61,aulyoto,o,k o *bamboo,plant
62,awana,o,"rain, to *rain",
63,awunu,o,blood,body part
64,ayo,ma,mother,kin
65,baaeri,,sail,
66,baatuku,o,k o *snare,hunting
67,babaka,,thrown,
68,babali,o,k o specially cooked *rice,food
69,babalyanga,,handle,
70,babanga,o,mangrove,plant
71,babao,,widower,
72,babaraha,,"peg, pin",
73,babarihi,,paint,
74,babau,,"child, foster *child",kin
75,babiti,,corrsion,
76,Baca,o,Bacan Islands,
77,bada,,makeup,
78,badaganga,,trade,
79,badangi,nanga,body,body part
80,bahaka,ma,end,
81,baharama,o,banyan *tree,
82,bahi,,"danger, trouble",
83,bahuku,o,"axe, chop (with an axe)",
84,baikoleke,o,"seagull, wagtail *bird",animal
85,baiti,o,"hole, grave, burrow",
86,baja,,persuade,
87,bajooka,,Baju,
88,baju,o,"jacket, shirt",
89,bajuli,,card game,
90,baka,,throw,
91,bakaha,o,salt *fish,food
92,bakanuku,o,jellyfish,animal
93,bakau,,"wages, salary",
94,bake,,corpse,
95,bakoro,o,"cliff, slope",
96,baku-baku,,pitch,
97,bakulu,,"coroded, decayed",
98,balacu,,uncolored *cotton,
99,balahadada,,long *dress,
100,balahi,,revenge,
101,balajang,,"fee, payment",
102,bale,,"bed, bedstead",
103,bali,,turn,
104,baliha,,sad,
105,balitako,o,k o *tree (grows along beach),plant
106,baliteta,,fluent,
107,balitorongo,,mouth-organ,
108,baluhu,ho,"answer, revenge",
109,balyaana,,flat,
110,balyanga,,"feel, handle",
111,banakono,,loot,
112,banga,,buried,
113,bangeheli,,flute,
114,bangi-bangi,o,"fence, to *dam",
115,bangisa,o,race,
116,bangu,ho ma,pay,
117,bao,ma,widower,
118,bara,,overhang,
